crop,use,elev,rcp,freq
THEOCA,N-fixing,1100,RCP85,0.6666666666666666
THEOCA,N-fixing,1100,Current,0.7666666666666667
THEOCA,N-fixing,1200,RCP45,0.7
THEOCA,N-fixing,1200,RCP85,0.6666666666666666
THEOCA,N-fixing,1200,Current,0.8
THEOCA,Timber,0,RCP45,0.7027027027027027
THEOCA,Timber,0,RCP85,0.7027027027027027
THEOCA,Timber,0,Current,0.7297297297297297
THEOCA,Timber,100,RCP45,0.7297297297297297
THEOCA,Timber,100,RCP85,0.7297297297297297
THEOCA,Timber,100,Current,0.7837837837837838
THEOCA,Timber,200,RCP45,0.7297297297297297
THEOCA,Timber,200,RCP85,0.7027027027027027
THEOCA,Timber,200,Current,0.7567567567567568
THEOCA,Timber,300,RCP45,0.7027027027027027
THEOCA,Timber,300,RCP85,0.6756756756756757
THEOCA,Timber,300,Current,0.7837837837837838
THEOCA,Timber,400,RCP45,0.7027027027027027
THEOCA,Timber,400,RCP85,0.6756756756756757
THEOCA,Timber,400,Current,0.7837837837837838
THEOCA,Timber,500,RCP45,0.6756756756756757
THEOCA,Timber,500,RCP85,0.6486486486486487
THEOCA,Timber,500,Current,0.7837837837837838
THEOCA,Timber,600,RCP45,0.6756756756756757
THEOCA,Timber,600,RCP85,0.6486486486486487
THEOCA,Timber,600,Current,0.7567567567567568
THEOCA,Timber,700,RCP45,0.6756756756756757
THEOCA,Timber,700,RCP85,0.6486486486486487
THEOCA,Timber,700,Current,0.7567567567567568
THEOCA,Timber,800,RCP45,0.6756756756756757
THEOCA,Timber,800,RCP85,0.6486486486486487
THEOCA,Timber,800,Current,0.7567567567567568
THEOCA,Timber,900,RCP45,0.6486486486486487
THEOCA,Timber,900,RCP85,0.6216216216216216
THEOCA,Timber,900,Current,0.7567567567567568
THEOCA,Timber,1000,RCP45,0.6486486486486487
THEOCA,Timber,1000,RCP85,0.5945945945945946
THEOCA,Timber,1000,Current,0.7027027027027027
THEOCA,Timber,1100,RCP45,0.6756756756756757
THEOCA,Timber,1100,RCP85,0.6216216216216216
THEOCA,Timber,1100,Current,0.7297297297297297
THEOCA,Timber,1200,RCP45,0.7027027027027027
THEOCA,Timber,1200,RCP85,0.6756756756756757
THEOCA,Timber,1200,Current,0.7567567567567568
