acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
ERYTCO,THEOCA_45,13906,7109,2835,23,NA,71.49034593724859,28.50965406275141,0.23129525341914725,-28.27835880933226,Erythrina costaricensis,N-fixing,2.776773045
ERYTCO,COFFAR_85,11274,2088,1205,0,NA,63.40722745217128,36.59277254782873,0,-36.59277254782873,Erythrina costaricensis,N-fixing,2.776773045
ERYTCO,THEOCA_85,13900,6984,2960,29,NA,70.23330651649235,29.766693483507645,0.2916331456154465,-29.4750603378922,Erythrina costaricensis,N-fixing,2.776773045
ERYTLA,COFFAR_45,9757,4124,337,349,NA,92.4456399910334,7.5543600089666,7.82335799148173,0.2689979825151303,Erythrina lanata,N-fixing,0.005564675
ERYTLA,THEOCA_45,22350,865,197,461,NA,81.45009416195856,18.54990583804143,43.40866290018832,24.85875706214689,Erythrina lanata,N-fixing,0.005564675
ERYTLA,COFFAR_85,9661,4123,338,445,NA,92.42322349249046,7.576776507509527,9.97534185160278,2.398565344093253,Erythrina lanata,N-fixing,0.005564675
ERYTLA,THEOCA_85,22307,836,226,504,NA,78.71939736346516,21.28060263653484,47.45762711864407,26.17702448210923,Erythrina lanata,N-fixing,0.005564675
ERYTPO,COFFAR_45,7685,2687,4195,0,NA,39.04388259226969,60.95611740773032,0,-60.95611740773032,Erythrina poeppigiana,N-fixing,1.567847305
ERYTPO,THEOCA_45,12828,3892,7153,0,NA,35.23766410140335,64.76233589859665,0,-64.76233589859665,Erythrina poeppigiana,N-fixing,1.567847305
ERYTPO,COFFAR_85,7685,2429,4453,0,NA,35.29497239174659,64.70502760825342,0,-64.70502760825342,Erythrina poeppigiana,N-fixing,1.567847305
ERYTPO,THEOCA_85,12828,3478,7567,0,NA,31.48936170212766,68.51063829787233,0,-68.51063829787233,Erythrina poeppigiana,N-fixing,1.567847305
GENIAM,COFFAR_45,1834,11107,1387,239,NA,88.89867136225388,11.101328637746118,1.9129182007363534,-9.188410437009765,Genipa americana,Fruit,0.239281044
GENIAM,THEOCA_45,1474,20340,1968,91,NA,91.17805271651426,8.821947283485745,0.4079254079254079,-8.414021875560337,Genipa americana,Fruit,0.239281044
GENIAM,COFFAR_85,1884,10369,2125,189,NA,82.99183608131904,17.008163918680967,1.5127261085320955,-15.495437810148871,Genipa americana,Fruit,0.239281044
GENIAM,THEOCA_85,1484,19567,2741,81,NA,87.71292809754348,12.287071902456518,0.3630984400215169,-11.923973462435,Genipa americana,Fruit,0.239281044
GLIRSE,COFFAR_45,1905,11436,877,349,NA,92.87744660115325,7.122553398846747,2.834402663851214,-4.288150734995533,Gliricidia sepium,N-fixing,12.3257561
GLIRSE,THEOCA_45,811,22157,455,450,NA,97.98779409163276,2.0122059083672386,1.990093755528038,-0.02211215283920054,Gliricidia sepium,N-fixing,12.3257561
GLIRSE,COFFAR_85,1885,11148,1165,369,NA,90.53845529115569,9.461544708844311,2.9968326159343786,-6.464712092909933,Gliricidia sepium,N-fixing,12.3257561
